arch,optimizer,seed,lag,acf_mag,cos_sim
resnet18_cifar10,sgd,21042,24,0.700104353798651,0.08994474409802589
resnet18_cifar10,sgd,21042,25,0.6892193458192947,0.08486170030191599
resnet18_cifar10,sgd,21042,26,0.6777544814864965,0.08395235645613693
resnet18_cifar10,sgd,21042,27,0.6667933641486685,0.08401175164217888
resnet18_cifar10,sgd,21042,28,0.6560932821210337,0.08416660999753726
resnet18_cifar10,sgd,21042,29,0.6445102591574091,0.08271538756571574
resnet18_cifar10,sgd,21042,30,0.633172732529998,0.08038368200001259
resnet18_cifar10,sgd,21042,31,0.6214824276597841,0.07900186379183118
resnet18_cifar10,sgd,21042,32,0.6094718653357211,0.07846049962002721
resnet18_cifar10,sgd,21042,33,0.5977185873301579,0.07934557786200118
resnet18_cifar10,sgd,21042,34,0.5849387311565091,0.07800824910967907
resnet18_cifar10,sgd,21042,35,0.5727072666608195,0.07477560360116044
resnet18_cifar10,sgd,21042,36,0.560294137133549,0.0752229296118579
resnet18_cifar10,sgd,21042,37,0.5477675268698023,0.07352324314976738
resnet18_cifar10,sgd,21042,38,0.5353204704543686,0.07689329205086815
resnet18_cifar10,sgd,21042,39,0.5225054803597117,0.06989805580811008
resnet18_cifar10,sgd,21042,40,0.5090945027677682,0.07300723016836558
resnet18_cifar10,sgd,22042,0,1.0,1.0
resnet18_cifar10,sgd,22042,1,0.9640400302513543,0.061117138882540084
resnet18_cifar10,sgd,22042,2,0.9411396515276835,0.12944142621343716
resnet18_cifar10,sgd,22042,3,0.9253634368280216,0.1323875889651767
resnet18_cifar10,sgd,22042,4,0.9143884795296449,0.12796175172247326
resnet18_cifar10,sgd,22042,5,0.9053049932712657,0.12836727022132605
resnet18_cifar10,sgd,22042,6,0.8968034582487284,0.12533414958216582
resnet18_cifar10,sgd,22042,7,0.8877974094684843,0.1201870497314156
resnet18_cifar10,sgd,22042,8,0.8784999613673404,0.11914902819811185
resnet18_cifar10,sgd,22042,9,0.8702070374015095,0.11345733478348621
resnet18_cifar10,sgd,22042,10,0.8620957762090119,0.11282653590731223
resnet18_cifar10,sgd,22042,11,0.853215056400041,0.10980940663036798
resnet18_cifar10,sgd,22042,12,0.8444060141148897,0.10744034835761218
resnet18_cifar10,sgd,22042,13,0.8351573570630619,0.10301062385948913
resnet18_cifar10,sgd,22042,14,0.8255048298325163,0.1052389140468411
resnet18_cifar10,sgd,22042,15,0.8152790626531329,0.10136599855096164
resnet18_cifar10,sgd,22042,16,0.8047086658010733,0.09853813691975066
resnet18_cifar10,sgd,22042,17,0.7940134289216773,0.09687684789566083
resnet18_cifar10,sgd,22042,18,0.7839308763191626,0.09687793599035655
